,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
105,105,INC0000076,New,True,0,0,0,True,Caller 2732,Opener 74,2016-02-29 08:25:00,Creator 66,29/2/16 8:29,Updater 291,29/2/16 8:29,Phone,Location 73,SAP,SAP - home office,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 22,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 57,29/2/16 16:27,2016-03-05 17:00:00,462900.0
106,106,INC0000076,Resolved,True,0,0,1,True,Caller 2732,Opener 74,2016-02-29 08:25:00,Creator 66,29/2/16 8:29,Updater 207,29/2/16 16:27,Phone,Location 73,SAP,SAP - home office,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 22,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 57,29/2/16 16:27,2016-03-05 17:00:00,462900.0
107,107,INC0000076,Closed,False,0,0,2,True,Caller 2732,Opener 74,2016-02-29 08:25:00,Creator 66,29/2/16 8:29,Updater 770,5/3/16 17:00,Phone,Location 73,SAP,SAP - home office,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 22,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 57,29/2/16 16:27,2016-03-05 17:00:00,462900.0
155,155,INC0000088,New,True,0,0,0,True,Caller 363,Opener 74,2016-02-29 08:48:00,,,Updater 770,29/2/16 8:48,Phone,Location 73,SAP,SAP - home office,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:05,2016-03-05 10:00:00,436320.0
156,156,INC0000088,Resolved,True,0,0,1,True,Caller 363,Opener 74,2016-02-29 08:48:00,,,Updater 291,29/2/16 9:05,Phone,Location 73,SAP,SAP - home office,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:05,2016-03-05 10:00:00,436320.0
157,157,INC0000088,Closed,False,0,0,2,True,Caller 363,Opener 74,2016-02-29 08:48:00,,,Updater 770,5/3/16 10:00,Phone,Location 73,SAP,SAP - home office,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:05,2016-03-05 10:00:00,436320.0
515,515,INC0000194,New,True,0,0,0,True,Caller 3988,Opener 74,2016-02-29 10:59:00,,,Updater 770,29/2/16 10:59,Phone,Location 73,SAP,SAP - home office,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 11:11,2016-03-05 12:00:00,435660.0
516,516,INC0000194,Resolved,True,0,0,1,True,Caller 3988,Opener 74,2016-02-29 10:59:00,,,Updater 291,29/2/16 11:11,Phone,Location 73,SAP,SAP - home office,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 11:11,2016-03-05 12:00:00,435660.0
517,517,INC0000194,Closed,False,0,0,2,True,Caller 3988,Opener 74,2016-02-29 10:59:00,,,Updater 770,5/3/16 12:00,Phone,Location 73,SAP,SAP - home office,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 11:11,2016-03-05 12:00:00,435660.0
548,548,INC0000199,Resolved,True,0,0,0,True,Caller 3831,Opener 119,2016-02-29 11:06:00,,,Updater 770,29/2/16 11:06,Phone,Location 160,SAP,GRC-GRC Nfe,Error - interface SAP,,3 - Low,3 - Low,4 - Low,Group 66,Assigned to 135,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 123,,2016-03-05 12:00:00,435240.0
549,549,INC0000199,Closed,False,0,0,1,True,Caller 3831,Opener 119,2016-02-29 11:06:00,,,Updater 770,5/3/16 12:00,Phone,Location 160,SAP,GRC-GRC Nfe,Error - interface SAP,,3 - Low,3 - Low,4 - Low,Group 66,Assigned to 135,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 123,,2016-03-05 12:00:00,435240.0
744,744,INC0000272,New,True,0,0,0,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 371,29/2/16 13:46,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 2,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
745,745,INC0000272,New,True,0,0,1,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 611,2/3/16 13:49,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 2,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
746,746,INC0000272,New,True,0,0,2,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 611,2/3/16 13:51,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 2,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
747,747,INC0000272,New,True,0,0,4,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 298,8/3/16 11:48,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 2,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
748,748,INC0000272,New,True,1,0,5,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 298,8/3/16 11:48,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
749,749,INC0000272,New,True,1,0,6,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 113,8/3/16 14:47,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
750,750,INC0000272,New,True,2,0,7,True,Caller 3851,Opener 90,2016-02-29 13:36:00,Creator 79,29/2/16 13:46,Updater 113,8/3/16 14:47,Phone,Location 111,SAP,BI/BO,Access,,3 - Low,2 - Medium,4 - Low,Group 51,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 153,8/3/16 15:35,2016-03-24 18:40:00,2091840.0
