,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
0,0,INC0000045,New,True,0,0,0,True,Caller 2222,Opener 6,2016-02-29 01:16:00,Creator 5,29/2/16 1:23,Updater 18,29/2/16 1:23,Phone,Location 111,Software - industry,Optivision,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 52,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 137,29/2/16 11:29,2016-03-05 12:00:00,470640.00000000006
1,1,INC0000045,Resolved,True,0,0,2,True,Caller 2222,Opener 6,2016-02-29 01:16:00,Creator 5,29/2/16 1:23,Updater 545,29/2/16 8:53,Phone,Location 111,Software - industry,Optivision,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 52,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 137,29/2/16 11:29,2016-03-05 12:00:00,470640.00000000006
2,2,INC0000045,Resolved,True,0,0,3,True,Caller 2222,Opener 6,2016-02-29 01:16:00,Creator 5,29/2/16 1:23,Updater 677,29/2/16 11:29,Phone,Location 111,Software - industry,Optivision,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 52,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 137,29/2/16 11:29,2016-03-05 12:00:00,470640.00000000006
3,3,INC0000045,Closed,False,0,0,4,True,Caller 2222,Opener 6,2016-02-29 01:16:00,Creator 5,29/2/16 1:23,Updater 770,5/3/16 12:00,Phone,Location 111,Software - industry,Optivision,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 52,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 137,29/2/16 11:29,2016-03-05 12:00:00,470640.00000000006
62,62,INC0000066,New,True,0,0,0,True,Caller 3510,Opener 13,2016-02-29 08:03:00,Creator 10,29/2/16 8:18,Updater 52,29/2/16 8:18,Phone,Location 122,Software - industry,PI system,,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 192,2/3/16 14:37,2016-03-07 15:00:00,629820.0
63,63,INC0000066,New,True,1,0,1,True,Caller 3510,Opener 13,2016-02-29 08:03:00,Creator 10,29/2/16 8:18,Updater 633,29/2/16 11:10,Phone,Location 122,Software - industry,PI system,,,2 - Medium,2 - Medium,3 - Moderate,Group 50,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 192,2/3/16 14:37,2016-03-07 15:00:00,629820.0
64,64,INC0000066,Resolved,True,1,0,2,True,Caller 3510,Opener 13,2016-02-29 08:03:00,Creator 10,29/2/16 8:18,Updater 739,2/3/16 14:37,Phone,Location 122,Software - industry,PI system,,,2 - Medium,2 - Medium,3 - Moderate,Group 50,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 192,2/3/16 14:37,2016-03-07 15:00:00,629820.0
65,65,INC0000066,Closed,False,1,0,3,True,Caller 3510,Opener 13,2016-02-29 08:03:00,Creator 10,29/2/16 8:18,Updater 770,7/3/16 15:00,Phone,Location 122,Software - industry,PI system,,,2 - Medium,2 - Medium,3 - Moderate,Group 50,,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 192,2/3/16 14:37,2016-03-07 15:00:00,629820.0
114,114,INC0000079,New,True,0,0,0,True,Caller 2287,Opener 74,2016-02-29 08:32:00,,,Updater 770,29/2/16 8:32,Phone,Location 160,Database,Sybase,Report emission error,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:20,2016-03-05 12:00:00,444480.0
115,115,INC0000079,New,True,1,0,1,True,Caller 2287,Opener 74,2016-02-29 08:32:00,,,Updater 633,29/2/16 11:14,Phone,Location 160,Software - industry,Optivision,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 61,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:20,2016-03-05 12:00:00,444480.0
116,116,INC0000079,Active,True,1,0,2,True,Caller 2287,Opener 74,2016-02-29 08:32:00,,,Updater 172,29/2/16 11:19,Phone,Location 160,Software - industry,Optivision,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:20,2016-03-05 12:00:00,444480.0
117,117,INC0000079,Resolved,True,1,0,3,True,Caller 2287,Opener 74,2016-02-29 08:32:00,,,Updater 565,29/2/16 11:20,Phone,Location 160,Software - industry,Optivision,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:20,2016-03-05 12:00:00,444480.0
118,118,INC0000079,Closed,False,1,0,4,True,Caller 2287,Opener 74,2016-02-29 08:32:00,,,Updater 770,5/3/16 12:00,Phone,Location 160,Software - industry,Optivision,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:20,2016-03-05 12:00:00,444480.0
194,194,INC0000101,New,True,0,0,0,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 291,29/2/16 9:13,Phone,Location 111,SAP,SAP - home office,SAP x optivision,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
195,195,INC0000101,New,True,0,0,1,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 672,29/2/16 9:42,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
196,196,INC0000101,Active,True,0,0,2,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 13,29/2/16 10:28,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
197,197,INC0000101,Active,True,0,0,3,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 565,29/2/16 10:59,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
198,198,INC0000101,Active,True,0,0,4,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 565,29/2/16 10:59,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
199,199,INC0000101,Resolved,True,0,0,5,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 565,29/2/16 11:00,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
