,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
108,108,INC0000077,New,True,0,0,0,True,Caller 3053,Opener 74,2016-02-29 08:27:00,,,Updater 770,29/2/16 8:27,Phone,Location 85,Passwords and access,AD - network login,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:04,2016-03-05 10:00:00,437580.0
109,109,INC0000077,New,True,0,0,1,True,Caller 3053,Opener 74,2016-02-29 08:27:00,,,Updater 291,29/2/16 8:42,Phone,Location 85,Passwords and access,AD - network login,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:04,2016-03-05 10:00:00,437580.0
110,110,INC0000077,New,True,0,0,2,True,Caller 3053,Opener 74,2016-02-29 08:27:00,,,Updater 291,29/2/16 8:43,Phone,Location 85,Passwords and access,AD - network login,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:04,2016-03-05 10:00:00,437580.0
111,111,INC0000077,New,True,0,0,3,True,Caller 3053,Opener 74,2016-02-29 08:27:00,,,Updater 291,29/2/16 9:03,Phone,Location 85,Passwords and access,AD - network login,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:04,2016-03-05 10:00:00,437580.0
112,112,INC0000077,Resolved,True,0,0,4,True,Caller 3053,Opener 74,2016-02-29 08:27:00,,,Updater 291,29/2/16 9:04,Phone,Location 85,Passwords and access,AD - network login,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:04,2016-03-05 10:00:00,437580.0
113,113,INC0000077,Closed,False,0,0,5,True,Caller 3053,Opener 74,2016-02-29 08:27:00,,,Updater 770,5/3/16 10:00,Phone,Location 85,Passwords and access,AD - network login,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 75,29/2/16 9:04,2016-03-05 10:00:00,437580.0
119,119,INC0000080,New,True,0,0,0,True,Caller 1107,Opener 13,2016-02-29 08:33:00,,,Updater 770,29/2/16 8:33,Phone,Location 167,Passwords and access,AD - network login,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 13,2/3/16 11:40,2016-03-07 12:00:00,617220.0
120,120,INC0000080,New,True,0,0,1,True,Caller 1107,Opener 13,2016-02-29 08:33:00,,,Updater 52,29/2/16 8:43,Phone,Location 167,Passwords and access,AD - network login,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 13,2/3/16 11:40,2016-03-07 12:00:00,617220.0
121,121,INC0000080,New,True,0,0,2,True,Caller 1107,Opener 13,2016-02-29 08:33:00,,,Updater 52,29/2/16 8:58,Phone,Location 167,Passwords and access,AD - network login,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 13,2/3/16 11:40,2016-03-07 12:00:00,617220.0
122,122,INC0000080,New,True,0,0,3,True,Caller 1107,Opener 13,2016-02-29 08:33:00,,,Updater 611,29/2/16 12:49,Phone,Location 167,Passwords and access,AD - network login,Access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 13,2/3/16 11:40,2016-03-07 12:00:00,617220.0
