,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
173,173,INC0000093,Resolved,True,0,0,0,True,Caller 3275,Opener 56,2016-02-29 08:56:00,,,Updater 770,29/2/16 8:56,Phone,Location 73,Telephony,Not apply,System,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Work Around),Resolver 59,,2016-03-05 10:00:00,435840.0
174,174,INC0000093,Closed,False,0,0,1,True,Caller 3275,Opener 56,2016-02-29 08:56:00,,,Updater 770,5/3/16 10:00,Phone,Location 73,Telephony,Not apply,System,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved (Work Around),Resolver 59,,2016-03-05 10:00:00,435840.0
328,328,INC0000130,New,True,0,0,2,True,Caller 293,Opener 28,2016-02-29 09:41:00,Creator 66,29/2/16 7:17,Updater 291,29/2/16 7:27,Phone,Location 160,Telephony,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 68,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 166,3/3/16 10:16,2016-03-08 11:00:00,695940.0
329,329,INC0000130,New,True,1,0,1,True,Caller 293,Opener 28,2016-02-29 09:41:00,Creator 66,29/2/16 7:17,Updater 113,29/2/16 9:59,Phone,Location 160,Telephony,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 69,,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 166,3/3/16 10:16,2016-03-08 11:00:00,695940.0
330,330,INC0000130,Active,True,1,0,2,True,Caller 293,Opener 28,2016-02-29 09:41:00,Creator 66,29/2/16 7:17,Updater 638,1/3/16 14:13,Phone,Location 160,Telephony,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 69,Assigned to 178,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 166,3/3/16 10:16,2016-03-08 11:00:00,695940.0
331,331,INC0000130,Active,True,1,0,3,True,Caller 293,Opener 28,2016-02-29 09:41:00,Creator 66,29/2/16 7:17,Updater 458,3/3/16 10:16,Phone,Location 160,Telephony,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 69,Assigned to 178,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 166,3/3/16 10:16,2016-03-08 11:00:00,695940.0
332,332,INC0000130,Resolved,True,1,0,4,True,Caller 293,Opener 28,2016-02-29 09:41:00,Creator 66,29/2/16 7:17,Updater 458,3/3/16 10:16,Phone,Location 160,Telephony,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 69,Assigned to 178,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 166,3/3/16 10:16,2016-03-08 11:00:00,695940.0
333,333,INC0000130,Closed,False,1,0,5,True,Caller 293,Opener 28,2016-02-29 09:41:00,Creator 66,29/2/16 7:17,Updater 770,8/3/16 11:00,Phone,Location 160,Telephony,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 69,Assigned to 178,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 166,3/3/16 10:16,2016-03-08 11:00:00,695940.0
588,588,INC0000221,New,True,0,0,0,True,Caller 2133,Opener 56,2016-02-29 11:58:00,,,Updater 770,29/2/16 11:58,Phone,Location 111,Telephony,Appliance,Occurrences in general,,2 - Medium,2 - Medium,3 - Moderate,Group 66,,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 120,2/3/16 14:06,2016-03-07 15:00:00,615720.0
589,589,INC0000221,New,True,1,0,1,True,Caller 2133,Opener 56,2016-02-29 11:58:00,,,Updater 633,29/2/16 13:14,Phone,Location 111,Telephony,Appliance,Occurrences in general,,2 - Medium,2 - Medium,3 - Moderate,Group 70,,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 120,2/3/16 14:06,2016-03-07 15:00:00,615720.0
